R2142816	CHEBI:63995	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
R2142816	CHEBI:63994	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
R2142816	CHEBI:15377	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
R2142816	CHEBI:15378	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
R2142816	CHEBI:15379	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
R2142816	CHEBI:34306	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
R2142816	CHEBI:16474	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
R2142816	CHEBI:63579	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
R2142816	CHEBI:63998	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
R2142816	CHEBI:18009	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
R2142816	CHEBI:15843	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
R1855183	CHEBI:18225	Synthesis of IP2, IP, and Ins in the cytosol
R1855183	CHEBI:4170	Synthesis of IP2, IP, and Ins in the cytosol
R1855183	CHEBI:15377	Synthesis of IP2, IP, and Ins in the cytosol
R1855183	CHEBI:15378	Synthesis of IP2, IP, and Ins in the cytosol
R1855183	CHEBI:15379	Synthesis of IP2, IP, and Ins in the cytosol
R1855183	CHEBI:18248	Synthesis of IP2, IP, and Ins in the cytosol
R1855183	CHEBI:17268	Synthesis of IP2, IP, and Ins in the cytosol
R1855183	CHEBI:17816	Synthesis of IP2, IP, and Ins in the cytosol
R1855183	CHEBI:18420	Synthesis of IP2, IP, and Ins in the cytosol
R1855183	CHEBI:18169	Synthesis of IP2, IP, and Ins in the cytosol
R1855183	CHEBI:15846	Synthesis of IP2, IP, and Ins in the cytosol
R1855183	CHEBI:28858	Synthesis of IP2, IP, and Ins in the cytosol
R1855183	CHEBI:18367	Synthesis of IP2, IP, and Ins in the cytosol
R1855183	CHEBI:16595	Synthesis of IP2, IP, and Ins in the cytosol
R389887	CHEBI:15371	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:28867	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:15346	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:15495	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:15366	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:17126	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:15377	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:15378	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:15379	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:64039	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:16238	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:16240	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:16908	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:51341	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:15539	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:15846	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:15960	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:63874	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:15351	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:63914	Beta-oxidation of pristanoyl-CoA
R389887	CHEBI:63803	Beta-oxidation of pristanoyl-CoA
R1855167	CHEBI:30164	Synthesis of pyrophosphates in the cytosol
R1855167	CHEBI:29035	Synthesis of pyrophosphates in the cytosol
R1855167	CHEBI:15422	Synthesis of pyrophosphates in the cytosol
R1855167	CHEBI:15377	Synthesis of pyrophosphates in the cytosol
R1855167	CHEBI:16322	Synthesis of pyrophosphates in the cytosol
R1855167	CHEBI:18420	Synthesis of pyrophosphates in the cytosol
R1855167	CHEBI:62985	Synthesis of pyrophosphates in the cytosol
R1855167	CHEBI:16761	Synthesis of pyrophosphates in the cytosol
R1855167	CHEBI:17401	Synthesis of pyrophosphates in the cytosol
R1855167	CHEBI:15844	Synthesis of pyrophosphates in the cytosol
R1855167	CHEBI:18367	Synthesis of pyrophosphates in the cytosol
R1855167	CHEBI:62926	Synthesis of pyrophosphates in the cytosol
R5625886	CHEBI:15741	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
R5625886	CHEBI:16810	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
R5625886	CHEBI:16422	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
R5625886	CHEBI:15422	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
R5625886	CHEBI:15379	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
R5625886	CHEBI:16526	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
R5625886	CHEBI:16761	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
