c0405	(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene
c0685	(+)-(4R)-Limonene
c0830	(1-Methylpentyl)succinate
c0831	(1-Methylpentyl)succinyl-CoA
c0673	(1S,2S,4R)-Limonene-1,2-diol
c0674	(1S,4R)-1-Hydroxy-2-oxolimonene
c0832	(2-Methylhexyl)malonyl-CoA
c1137	(2E)-5-Methylhexa-2,4-dienoyl-CoA
c1027	(2E,4E)-2-Hydroxyhexa-2,4-dienoate
c0226	(2E,4Z)-2-Hydroxy-6-oxoocta-2,4,7-trienoate
c1007	(2Z)-2,4-Dihydroxydec-2-enedioate
c1545	(2Z)-3-(4-Formyl-2-hydroxy-1H-imidazol-5-yl)-2-hydroxyprop-2-enoate
c0759	(3E)-4-(5-Amino-2-hydroxy-phenyl)-2-oxo-but-3-ene-1-oic-acid
c1024	(3E,1Z)-4,5-9,10-Diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate
c0678	(3R)-3-Isopropenyl -6-oxoheptanoyl-CoA
c0676	(3R)-3-Isopropenyl-6-oxoheptanoate
c0944	(3S)-3-Hydroxyadipyl-CoA
c0030	(3S)-3-Hydroxybutyryl-CoA
c0030	(3S)-3-Hydroxybutyryl-CoA
c0404	(3S,4R)-3,4-Dihydroxy-3,4-dihydro-9-fluorenone
c0672	(4R)-Limonene-1,2-epoxide
c1041	(R)-1,2,3,4-Tetrahydronaphthol
c0470	(R)-6-Hydroxynicotine
c0468	(RS)-Nicotine
c0266	(S)-1-Phenylethanol
c0323	(Z)-4-(2-Hydroxy-5-sulfonatophenyl)-2-oxo-3-butenoate
c0384	1,1,1-Trichloro-2,2-bis-(4`-chlorophenyl)ethane (DDT)
c0384	1,1,1-Trichloro-2,2-bis-(4`-chlorophenyl)ethane (DDT)
c0892	1,1,1-Trichloroethane
c0009	1,1,2-Trichloroethylene
c0505	1,1-Dichloro-2,2-bis(4`-chlorophenyl)ethane (DDD)
c0406	1,1-Dichloro-2,2-bis(4`-chlorophenyl)ethylene (DDE)
c0406	1,1-Dichloro-2,2-bis(4`-chlorophenyl)ethylene (DDE)
c0414	1,1-Dichloro-2-(dihydroxy-4`-chorophenyl)-2-(4`-chlorophenyl)ethylene
c1042	1,2,3,4-Tetrahydronaphthalone
c0687	1,2,3-Trichlorobenzene
c0264	1,2,4-Benzenetriol
c0465	1,2,4-Trichlorobenzene
c0465	1,2,4-Trichlorobenzene
c1548	1,2-Diaminobenzene
c1393	1,2-Dihydronaphthalene
c1003	1,2-Dihydroxy-5,6,7,8-tetrahydronaphthalene
c0252	1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate
c0707	1,2-Dihydroxy-7-hydroxymethylnaphthalene
c0715	1,2-Dihydroxy-8-methylnaphthalene
c0399	1,2-Dihydroxyfluorene
c0129	1,2-Dihydroxynaphthalene
c0129	1,2-Dihydroxynaphthalene
c0129	1,2-Dihydroxynaphthalene
c0322	1,2-Dihydroxynaphthalene-6-sulfonate
c0546	1,2-Dihydroxyphenanthrene
c1495	1,2-Epoxyphenylacetyl-CoA
c0778	1,2-bis(4-Hydroxyphenyl)-2-propanol
c0514	1,3(R),4(S),5(S),6(R)-Pentachlorocyclohexene
c0522	1,3(R),4,6(R)-Tetrachloro-1,4-cyclohexadiene
c1153	1,3,7-Trimethyluric acid
c0593	1,4-Dichlorobenzene
c0853	1,6-Dihydroxypyrene
c0860	1,6-Dimethoxypyrene
c1103	1,7-Dimethyluric acid
c0856	1,8-Dihydroxypyrene
c0499	1-Chloro-2,2-bis(4`-chlorophenyl)ethane (DDMS)
c0430	1-Chloro-2,2-bis(4`-chlorophenyl)ethylene (DDMU)
c0430	1-Chloro-2,2-bis(4`-chlorophenyl)ethylene (DDMU)
c1447	1-Chloroacetyl-2,3-dihydro-7-ethylindole
c0401	1-Formyl-2-indanone
c0916	1-Hydro-1,1a-dihydroxy-9-fluorenone
c0437	1-Hydroxy-2-naphthaldehyde
c0438	1-Hydroxy-2-naphthoate
c1142	1-Hydroxy-4,4-dimethylpentan-3-one
c0864	1-Hydroxy-6-methoxypyrene
c0720	1-Hydroxymethylnaphthalene
c0851	1-Hydroxypyrene
c0852	1-Hydroxypyrene-6,7-oxide
c0855	1-Hydroxypyrene-7,8-oxide
c0395	1-Indanone
c0451	1-Methoxyphenanthrene
c0451	1-Methoxyphenanthrene
c0859	1-Methoxypyrene
c0863	1-Methoxypyrene-6,7-oxide
c0713	1-Methylnaphthalene
c0721	1-Naphthaldehyde
c0723	1-Naphthoic acid
c0059	1-Oxa-2-oxocycloheptane
c0450	1-Phenanthrol
c0450	1-Phenanthrol
c0450	1-Phenanthrol
c0498	1-Phenanthryl-beta-D-glucopyranoside
c0535	1-Phenanthrylsulfate
c0858	1-Pyrenylsulfate
c0966	10-Oxabenzo(def)chrysen-9-one
c0953	11,12-Dihydroxybenzo(a)pyrene
c1125	17beta-Hydroxyandrosta-1,4-diene-3-one
c1096	2,2-Dimethyl-3-pentanone
c0789	2,2-bis(4-Hydroxyphenyl)-1-propanoate
c0788	2,2-bis(4-Hydroxyphenyl)-1-propanol
c0500	2,2-bis(4`-Chlorophenyl)ethanol (DDOH)
c0458	2,2`,6,6`-Tetranitro-4,4`-azoxytoluene
c0513	2,2`-Biphenyldimethanol
c0512	2,2`-Diphenate
c0512	2,2`-Diphenate
c1132	2,2`-Dithio-bis-benzothiazole
c0487	2,3,5-Trichloro-cis,cis-muconate
c1167	2,3,6-Trihydroxyisonicotinate
c0475	2,3,6-Trihydroxypyridine
c0475	2,3,6-Trihydroxypyridine
c0219	2,3-Didehydro-pimeloyl-CoA
c0420	2,3-Dihydroxy DDT
c0521	2,3-Dihydroxy-2-methyl propionate
c0917	2,3-Dihydroxy-2`-carboxybiphenyl
c0380	2,3-Dihydroxy-p-cumate
c0056	2,3-Dihydroxybenzoate
c0274	2,3-Dihydroxyethylbenzene
c1009	2,3-Dihydroxynaphthalene
c1009	2,3-Dihydroxynaphthalene
c1511	2,3-Epoxybenzoyl-CoA
c0790	2,3-bis(4-Hydroxyphenyl)-1,2-propanediol
c1079	2,4,4-Trimethyl-1-pentanol
c1140	2,4,4-Trimethyl-3-hydroxypentanoyl-CoA
c1081	2,4,4-Trimethyl-3-oxopentanoate
c1141	2,4,4-Trimethyl-3-oxopentanoyl-CoA
c1108	2,4,4-Trimethylpent-2-enoyl-CoA
c1092	2,4,4-Trimethylpentanal
c1080	2,4,4-Trimethylpentanoate
c1093	2,4,4-Trimethylpentanoyl-CoA
c0536	2,4,5-Trichloro-2,5-cyclohexadiene-1-ol
c1316	2,4,5-Trihydroxytoluene
c0482	2,4,6-Triaminotoluene
c0510	2,4,6-Trihydroxytoluene
c0439	2,4,6-Trinitrotoluene
c0439	2,4,6-Trinitrotoluene
c0483	2,4-Diamino-6-hydroxylaminotoluene
c0456	2,4-Diamino-6-nitrotoluene
c1340	2,4-Diaminotoluene
c0292	2,4-Dichloro-cis,cis-muconate
c0289	2,4-Dichlorophenol
c0289	2,4-Dichlorophenol
c0288	2,4-Dichlorophenoxyacetic acid
c0865	2,4-Dichlorotoluene
c0168	2,4-Dihydroxy-6-(N`-ethyl)amino-1,3,5-triazine
